study_hours,attendance,previous_marks,G2,final_marks
2,98,11,10,10
6,100,13,12,13
6,96,15,14,15
2,98,11,12,11
8,100,11,11,12
2,100,11,10,10
4,98,10,9,10
6,100,15,15,15
2,94,15,14,15
4,92,10,11,12
4,100,10,9,12
8,94,14,13,14
6,92,11,13,14
4,100,12,13,15
8,96,14,14,15
4,100,14,14,16
4,100,12,12,13
4,94,16,16,17
4,82,10,12,14
6,100,11,12,14
6,96,14,16,17
6,96,15,14,17
6,100,14,13,14
6,100,11,12,13
4,90,12,15,15
4,96,12,16,16
2,84,10,11,11
2,94,10,13,13
6,100,9,12,12
4,89,9,11,12
4,91,13,14,15
4,100,13,17,17
6,98,12,15,15
4,100,14,17,17
4,79,9,10,10
6,92,11,15,15
2,95,9,10,11
4,90,16,18,18
6,95,14,17,17
2,87,13,14,14
2,90,7,11,11
4,90,14,17,17
2,95,8,10,10
4,96,10,13,13
2,89,10,11,11
4,100,12,12,12
2,94,10,10,10
2,96,10,10,11
4,100,16,17,17
2,100,6,8,9
4,95,10,11,11
6,100,10,11,11
4,100,10,10,10
2,100,6,6,7
2,100,13,14,14
8,96,10,9,11
4,100,10,10,10
2,96,6,7,8
2,100,12,11,12
2,98,10,11,12
2,100,14,16,16
4,100,7,0,0
4,96,8,9,9
4,100,12,13,14
4,93,7,9,8
4,96,9,10,11
4,92,7,9,9
4,100,11,11,11
2,92,8,10,9
6,94,16,16,17
2,97,11,13,13
4,98,15,15,15
4,100,10,11,11
4,96,9,10,11
6,100,10,8,8
6,97,9,8,8
4,100,9,10,9
4,100,13,14,15
2,96,10,11,11
8,100,13,10,13
6,98,10,9,10
4,99,11,10,11
2,100,13,12,14
4,100,13,14,14
6,98,14,11,12
2,94,11,11,11
4,91,9,8,8
2,100,10,9,11
4,99,14,13,14
2,99,13,12,13
4,100,13,12,13
4,96,13,12,12
4,98,12,11,12
2,100,14,14,16
2,96,10,8,10
2,98,10,11,11
6,100,12,13,14
2,98,10,8,8
2,89,12,10,11
4,100,7,7,8
2,96,9,9,10
2,100,9,9,10
2,98,9,10,11
2,100,9,10,9
4,99,9,10,11
2,94,7,7,8
4,100,11,10,11
2,99,9,10,10
6,94,7,9,10
6,94,7,9,9
2,100,8,9,10
2,96,9,11,10
4,88,7,8,9
4,98,8,10,10
2,95,9,9,10
4,100,8,9,9
2,100,14,13,13
2,98,14,14,14
8,100,10,11,10
4,100,14,13,14
2,100,17,16,16
2,88,6,7,7
2,92,14,12,13
8,98,10,8,9
8,100,14,14,14
6,100,12,13,13
2,100,11,11,11
4,92,11,9,10
6,100,11,11,10
2,100,10,9,9
4,100,16,17,18
4,100,15,17,17
4,99,11,9,10
4,91,7,7,7
2,100,8,6,8
2,98,7,6,7
4,92,9,8,10
4,100,14,16,16
2,100,14,14,15
4,92,8,5,8
4,100,8,7,0
4,94,6,8,8
4,100,8,10,10
4,96,8,8,8
8,98,5,6,6
4,98,7,9,8
6,100,15,14,16
2,99,13,14,14
6,100,10,9,10
2,95,9,9,9
2,99,11,11,11
2,92,7,10,9
4,100,10,10,10
4,98,9,7,8
4,100,14,15,16
2,100,11,12,12
4,89,9,11,10
8,92,13,14,14
2,89,12,13,12
6,98,11,11,11
4,92,9,10,10
2,95,9,11,11
4,100,11,9,11
6,99,10,11,12
2,98,9,9,8
2,98,12,11,12
4,92,8,9,8
4,100,13,15,16
2,100,10,11,11
4,98,11,10,11
4,100,17,18,18
4,100,12,13,13
4,100,13,14,13
4,98,9,9,10
2,96,11,11,12
2,97,10,11,10
6,95,13,14,13
2,96,9,10,11
4,98,7,9,10
2,100,8,13,10
2,100,12,12,13
2,100,10,9,10
4,94,10,9,10
4,100,11,13,12
2,100,7,0,0
2,98,11,9,10
2,100,10,10,9
2,98,9,7,9
2,100,4,0,0
2,96,6,11,9
4,91,4,8,8
2,94,7,8,8
2,96,8,9,9
4,92,5,5,7
2,91,7,9,10
2,88,8,11,10
2,92,10,11,10
2,92,9,10,11
4,92,10,9,11
4,96,8,9,10
2,100,9,10,9
2,96,8,9,10
4,98,6,8,8
2,100,6,8,7
2,100,8,6,0
2,100,10,11,11
6,95,8,7,8
4,100,8,8,0
4,97,7,6,8
2,100,8,10,9
2,100,7,10,10
4,97,7,8,7
4,98,12,13,14
2,100,11,12,13
4,100,12,13,14
4,100,18,18,18
2,97,17,17,17
4,100,17,18,18
4,100,9,0,0
2,92,10,11,11
2,95,12,13,14
2,96,12,13,14
4,96,8,8,10
6,100,11,12,13
4,100,5,0,0
4,98,9,10,10
2,100,5,0,0
8,100,18,18,18
4,95,11,11,12
4,98,8,10,11
4,100,11,11,12
4,100,8,0,0
6,95,14,14,15
4,96,10,11,11
4,100,10,10,10
4,98,12,12,12
4,100,15,14,15
2,98,14,13,14
6,100,19,17,18
4,100,16,15,15
4,94,13,12,13
4,96,15,14,15
4,100,13,13,13
4,100,8,10,9
6,100,15,16,16
2,100,8,8,9
2,100,10,10,10
4,100,7,5,0
2,97,9,10,10
6,92,10,11,12
2,96,7,8,9
6,100,15,17,17
6,96,10,11,12
4,96,7,8,9
4,99,13,14,14
4,99,16,16,16
4,90,8,9,9
4,96,17,18,19
2,100,7,7,0
4,96,14,15,16
2,100,5,8,0
2,100,7,7,0
6,100,14,17,15
4,100,6,9,11
2,96,7,9,10
6,96,10,11,10
4,96,15,15,16
4,94,11,12,9
2,94,10,10,10
2,96,10,11,11
